番号,paraB,paraL,paraQ,typeMP,typePR
146,-1,-1,-1,1,0
147,-1,-1,-1,0,1
148,-1,-1,-1,0,0
149,-1,-1,-1,0,1
150,-1,-1,-1,1,0
151,-1,-1,-1,0,1
152,-1,-1,-1,0,0
153,-1,-1,-1,0,1
154,-1,-1,-1,1,0
155,-1,-1,-1,0,1
156,-1,-1,-1,0,0
157,-1,-1,-1,0,1
158,-1,-1,-1,1,0
159,-1,-1,-1,0,1
160,-1,-1,-1,0,0
161,-1,-1,-1,0,1
162,-1,-1,-1,1,0
163,-1,-1,-1,0,1
164,-1,-1,-1,0,0
165,-1,-1,-1,0,1
166,-1,-1,-1,1,0
167,-1,-1,-1,0,1
168,-1,-1,-1,0,0
169,-1,-1,-1,0,1
170,-1,-1,-1,1,0
171,-1,-1,-1,0,1
172,-1,-1,-1,0,0
173,-1,-1,-1,0,1
174,-1,-1,-1,1,0
175,-1,-1,-1,0,1
176,-1,-1,-1,0,0
177,-1,-1,-1,0,1
178,-1,-1,-1,1,0
179,-1,-1,-1,0,1
180,-1,-1,-1,0,0
181,-1,-1,-1,0,1
182,-1,-1,-1,1,0
183,-1,-1,-1,0,1
184,-1,-1,-1,0,0
185,-1,-1,-1,0,1
186,-1,-1,-1,1,0
187,-1,-1,-1,0,1
188,-1,-1,-1,0,0
189,-1,-1,-1,0,1
190,-1,-1,-1,1,0
191,-1,-1,-1,0,1
192,-1,-1,-1,0,0
193,-1,-1,-1,0,1
194,-1,-1,-1,1,0
195,-1,-1,-1,0,1
196,-1,-1,-1,0,0
197,-1,-1,-1,0,1
198,-1,-1,-1,1,0
199,-1,-1,-1,0,1
200,-1,-1,-1,0,0
201,-1,-1,-1,0,1
202,-1,-1,-1,1,0
203,-1,-1,-1,0,1
204,-1,-1,-1,0,0
205,-1,-1,-1,0,1
206,-1,-1,-1,1,0
207,-1,-1,-1,0,1
208,-1,-1,-1,0,0
209,-1,-1,-1,0,1
210,-1,-1,-1,1,0
211,-1,-1,-1,0,1
212,-1,-1,-1,0,0
213,-1,-1,-1,0,1
214,-1,-1,-1,1,0
215,-1,-1,-1,0,1
216,-1,-1,-1,0,0
217,-1,-1,-1,0,1
218,-1,-1,-1,1,0
219,-1,-1,-1,0,1
220,-1,-1,-1,0,0
221,-1,-1,-1,0,1
222,-1,-1,-1,1,0
223,-1,-1,-1,0,1
224,-1,-1,-1,0,0
225,-1,-1,-1,0,1
226,-1,-1,-1,1,0
227,-1,-1,-1,0,1
228,-1,-1,-1,0,0
229,-1,-1,-1,0,1
230,-1,-1,-1,1,0
231,-1,-1,-1,0,1
232,-1,-1,-1,0,0
233,-1,-1,-1,0,1
234,-1,-1,-1,1,0
235,-1,-1,-1,0,1
236,-1,-1,-1,0,0
237,-1,-1,-1,0,1
238,-1,-1,-1,1,0
239,-1,-1,-1,0,1
240,-1,-1,-1,0,0
241,-1,-1,-1,0,1
242,-1,-1,-1,1,0
243,-1,-1,-1,0,1
244,-1,-1,-1,0,0
245,-1,-1,-1,0,1
246,-1,-1,-1,1,0
247,-1,-1,-1,0,1
248,-1,-1,-1,0,0
249,-1,-1,-1,0,1
250,-1,-1,-1,1,0
251,-1,-1,-1,0,1
252,-1,-1,-1,0,0
253,-1,-1,-1,0,1
254,-1,-1,-1,1,0
255,-1,-1,-1,0,1
256,-1,-1,-1,0,0
257,-1,-1,-1,0,1
258,-1,-1,-1,1,0
259,-1,-1,-1,0,1
260,-1,-1,-1,0,0
261,-1,-1,-1,0,1
262,-1,-1,-1,1,0
263,-1,-1,-1,0,1
264,-1,-1,-1,0,0
265,-1,-1,-1,0,1
266,-1,-1,-1,1,0
267,-1,-1,-1,0,1
268,-1,-1,-1,0,0
269,-1,-1,-1,0,1
270,-1,-1,-1,1,0
271,-1,-1,-1,0,1
272,-1,-1,-1,0,0
273,-1,-1,-1,0,1
274,-1,-1,-1,1,0
275,-1,-1,-1,0,1
276,-1,-1,-1,0,0
277,-1,-1,-1,0,1
278,-1,-1,-1,1,0
279,-1,-1,-1,0,1
280,-1,-1,-1,0,0
281,-1,-1,-1,0,1
282,-1,-1,-1,1,0
283,-1,-1,-1,0,1
284,-1,-1,-1,0,0
285,-1,-1,-1,0,1
286,-1,-1,-1,1,0
287,-1,-1,-1,0,1
288,-1,-1,-1,0,0
289,-1,-1,-1,0,1
290,-1,-1,-1,1,0
291,-1,-1,-1,0,1
292,-1,-1,-1,0,0
293,-1,-1,-1,0,1
294,-1,-1,-1,1,0
295,-1,-1,-1,0,1
296,-1,-1,-1,0,0
297,-1,-1,-1,0,1
298,-1,-1,-1,1,0
299,-1,-1,-1,0,1
300,-1,-1,-1,0,0
301,-1,-1,-1,0,1
302,-1,-1,-1,1,0
303,-1,-1,-1,0,1
304,-1,-1,-1,0,0
305,-1,-1,-1,0,1
306,-1,-1,-1,1,0
307,-1,-1,-1,0,1
308,-1,-1,-1,0,0
309,-1,-1,-1,0,1
310,-1,-1,-1,1,0
311,-1,-1,-1,0,1
312,-1,-1,-1,0,0
313,-1,-1,-1,0,1
314,-1,-1,-1,1,0
315,-1,-1,-1,0,1
316,-1,-1,-1,0,0
317,-1,-1,-1,0,1
318,-1,-1,-1,1,0
319,-1,-1,-1,0,1
320,-1,-1,-1,0,0
321,-1,-1,-1,0,1
322,-1,-1,-1,1,0
323,-1,-1,-1,0,1
324,-1,-1,-1,0,0
325,-1,-1,-1,0,1
326,-1,-1,-1,1,0
327,-1,-1,-1,0,1
328,-1,-1,-1,0,0
329,-1,-1,-1,0,1
330,-1,-1,-1,1,0
331,-1,-1,-1,0,1
332,-1,-1,-1,0,0
333,-1,-1,-1,0,1
334,-1,-1,-1,1,0
335,-1,-1,-1,0,1
336,-1,-1,-1,0,0
337,-1,-1,-1,0,1
338,-1,-1,-1,1,0
339,-1,-1,-1,0,1
340,-1,-1,-1,0,0
341,-1,-1,-1,0,1
342,-1,-1,-1,1,0
343,-1,-1,-1,0,1
344,-1,-1,-1,0,0
345,-1,-1,-1,0,1
346,-1,-1,-1,1,0
347,-1,-1,-1,0,1
348,-1,-1,-1,0,0
349,-1,-1,-1,0,1
350,-1,-1,-1,1,0
351,-1,-1,-1,0,1
352,-1,-1,-1,0,0
353,-1,-1,-1,0,1
354,-1,-1,-1,1,0
355,-1,-1,-1,0,1
356,-1,-1,-1,0,0
357,-1,-1,-1,0,1
358,-1,-1,-1,1,0
359,-1,-1,-1,0,1
360,-1,-1,-1,0,0
361,-1,-1,-1,0,1
362,-1,-1,-1,1,0
363,-1,-1,-1,0,1
364,-1,-1,-1,0,0
365,-1,-1,-1,0,1
366,-1,-1,-1,1,0
367,-1,-1,-1,0,1
368,-1,-1,-1,0,0
369,-1,-1,-1,0,1
370,-1,-1,-1,1,0
371,-1,-1,-1,0,1
372,-1,-1,-1,0,0
373,-1,-1,-1,0,1
374,-1,-1,-1,1,0
375,-1,-1,-1,0,1
376,-1,-1,-1,0,0
377,-1,-1,-1,0,1
378,-1,-1,-1,1,0
379,-1,-1,-1,0,1
380,-1,-1,-1,0,0
381,-1,-1,-1,0,1
382,-1,-1,-1,1,0
383,-1,-1,-1,0,1
384,-1,-1,-1,0,0
385,-1,-1,-1,0,1
386,-1,-1,-1,1,0
387,-1,-1,-1,0,1
388,-1,-1,-1,0,0
389,-1,-1,-1,0,1
390,-1,-1,-1,1,0
391,-1,-1,-1,0,1
392,-1,-1,-1,0,0
393,-1,-1,-1,0,1
394,-1,-1,-1,1,0
395,-1,-1,-1,0,1
396,-1,-1,-1,0,0
397,-1,-1,-1,0,1
398,-1,-1,-1,1,0
399,-1,-1,-1,0,1
